model,target,n_eligible,n_train,n_val,n_test,status,selected_C,validation_balanced_accuracy,validation_n,selection_status,n,n_classes,balanced_accuracy,accuracy,roc_auc,tn,fp,fn,tp,balanced_accuracy_ci_lower,balanced_accuracy_ci_upper,bootstrap_n_resamples,bootstrap_confidence,R,loop
latent_logistic_critical,critical_label,500,350,76,74,ok,0.001,0.4605263157894737,76,selected on validation balanced accuracy,74,2,0.4864864864864865,0.4864864864864865,0.5266617969320672,17,20,18,19,0.3764437134502925,0.6043032669086811,2000,0.95,4,1
latent_logistic_critical,critical_label,500,350,76,74,ok,1.0,0.5,76,selected on validation balanced accuracy,74,2,0.4594594594594595,0.4594594594594595,0.4974433893352812,14,23,17,20,0.34622887716737144,0.5747077164511712,2000,0.95,4,2
latent_logistic_critical,critical_label,500,350,76,74,ok,0.001,0.4868421052631579,76,selected on validation balanced accuracy,74,2,0.4864864864864865,0.4864864864864865,0.5003652300949598,18,19,19,18,0.37393817564549275,0.6016405129124819,2000,0.95,4,3
latent_logistic_critical,critical_label,500,350,76,74,ok,0.01,0.4473684210526316,76,selected on validation balanced accuracy,74,2,0.5675675675675675,0.5675675675675675,0.577063550036523,21,16,16,21,0.4564102564102564,0.6845352564102564,2000,0.95,4,4
latent_logistic_final_answer_diagnostic,semantic_answer,500,350,76,74,ok,0.001,0.4313929313929314,76,selected on validation balanced accuracy,74,2,0.5294117647058824,0.527027027027027,0.5227941176470587,19,15,20,20,0.4105541340011614,0.6382119799139168,2000,0.95,4,4
latent_shuffled_label_control,critical_label,500,350,76,74,ok,0.01,0.5983086680761099,76,selected on validation balanced accuracy,74,2,0.5135135135135136,0.5135135135135135,0.5054784514243974,18,19,17,20,0.4071637426900585,0.6249107142857143,2000,0.95,4,4
latent_train_majority_baseline,critical_label,500,350,76,74,ok,,,0,deterministic train-majority baseline,74,2,0.5,0.5,,37,0,37,0,0.5,0.5,2000,0.95,4,4
latent_logistic_critical,critical_label,500,350,76,74,ok,0.001,0.4605263157894737,76,selected on validation balanced accuracy,74,2,0.4864864864864865,0.4864864864864865,0.5266617969320672,17,20,18,19,0.3750709033613446,0.5946054607238818,2000,0.95,8,1
latent_logistic_critical,critical_label,500,350,76,74,ok,1.0,0.5,76,selected on validation balanced accuracy,74,2,0.4594594594594595,0.4594594594594595,0.4974433893352812,14,23,17,20,0.3495852761836442,0.5689466783216783,2000,0.95,8,2
latent_logistic_critical,critical_label,500,350,76,74,ok,0.001,0.4868421052631579,76,selected on validation balanced accuracy,74,2,0.4864864864864865,0.4864864864864865,0.5003652300949598,18,19,19,18,0.36663003663003674,0.6007575757575758,2000,0.95,8,3
latent_logistic_critical,critical_label,500,350,76,74,ok,0.01,0.4473684210526316,76,selected on validation balanced accuracy,74,2,0.5675675675675675,0.5675675675675675,0.577063550036523,21,16,16,21,0.4536699625502375,0.6769188596491227,2000,0.95,8,4
latent_logistic_critical,critical_label,500,350,76,74,ok,0.001,0.48684210526315785,76,selected on validation balanced accuracy,74,2,0.5405405405405406,0.5405405405405406,0.5471146822498174,18,19,15,22,0.4226121794871795,0.653639846743295,2000,0.95,8,5
latent_logistic_critical,critical_label,500,350,76,74,ok,0.1,0.5789473684210527,76,selected on validation balanced accuracy,74,2,0.5540540540540541,0.5540540540540541,0.6216216216216216,22,15,18,19,0.4421205357142857,0.663017285861713,2000,0.95,8,6
latent_logistic_critical,critical_label,500,350,76,74,ok,0.01,0.631578947368421,76,selected on validation balanced accuracy,74,2,0.5810810810810811,0.581081081081081,0.6464572680788897,24,13,18,19,0.46919707656799264,0.690484022556391,2000,0.95,8,7
latent_logistic_critical,critical_label,500,350,76,74,ok,0.001,0.631578947368421,76,selected on validation balanced accuracy,74,2,0.5675675675675675,0.5675675675675675,0.6654492330168006,22,15,17,20,0.4563108519269777,0.6776916248955721,2000,0.95,8,8
latent_logistic_final_answer_diagnostic,semantic_answer,500,350,76,74,ok,0.1,0.5758835758835759,76,selected on validation balanced accuracy,74,2,0.4625,0.4594594594594595,0.4625,17,17,23,17,0.3509147869674185,0.5882352941176471,2000,0.95,8,8
